iter	Passed	Remaining
406	7206	10499
407	7225	10483
408	7245	10470
409	7266	10457
410	7285	10440
411	7302	10421
412	7320	10405
413	7338	10387
414	7358	10372
415	7376	10355
416	7408	10358
417	7433	10350
418	7451	10332
419	7468	10313
420	7486	10296
421	7504	10278
422	7521	10259
423	7537	10239
424	7554	10220
425	7571	10201
426	7597	10195
427	7614	10176
428	7628	10153
429	7641	10129
430	7656	10107
431	7669	10084
432	7684	10062
433	7699	10041
434	7713	10018
435	7728	9997
436	7745	9978
437	7760	9957
438	7773	9933
439	7789	9913
440	7803	9891
441	7818	9870
442	7832	9848
443	7845	9824
444	7861	9804
445	7875	9782
446	7891	9762
447	7903	9738
448	7918	9717
449	7935	9698
450	7949	9677
451	7965	9657
452	7981	9637
453	7998	9619
454	8014	9600
455	8032	9582
456	8050	9565
457	8068	9548
458	8086	9531
459	8103	9513
460	8120	9494
461	8137	9475
462	8154	9457
463	8172	9440
464	8189	9422
465	8206	9403
466	8222	9384
467	8240	9366
468	8257	9348
469	8274	9330
470	8292	9313
471	8309	9295
472	8328	9278
473	8344	9260
474	8361	9241
475	8377	9222
476	8396	9206
477	8415	9190
478	8433	9173
479	8450	9155
480	8467	9136
481	8483	9116
482	8499	9097
483	8512	9075
484	8526	9053
485	8541	9033
486	8556	9013
487	8573	8995
488	8587	8973
489	8600	8951
490	8613	8929
491	8627	8908
492	8642	8888
493	8655	8865
494	8667	8842
495	8682	8822
496	8697	8802
497	8711	8781
498	8725	8760
499	8740	8740
500	8753	8718
501	8765	8695
502	8781	8676
503	8798	8658
504	8812	8637
505	8827	8617
506	8841	8597
507	8853	8574
508	8866	8552
509	8879	8530
510	8891	8509
511	8904	8486
512	8920	8468
513	8935	8448
514	8949	8428
515	8963	8407
516	8976	8386
517	8990	8365
518	9002	8343
519	9021	8327
520	9037	8309
521	9051	8288
522	9064	8267
523	9077	8245
524	9090	8224
525	9102	8203
526	9118	8183
527	9131	8163
528	9144	8141
529	9157	8120
530	9171	8100
531	9184	8079
532	9200	8061
533	9222	8048
534	9240	8031
535	9254	8011
536	9267	7990
537	9281	7970
538	9295	7949
539	9308	7929
540	9323	7910
541	9338	7891
542	9351	7870
543	9364	7849
544	9379	7830
